Ohio_STR;TEACHERS;GLOBAL LIQUIDITY RESERVE;;;INTERNATIONAL FUNDS;;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;TEACHERS;AMERICAN ELECTRIC POWER;;1,474,231.00;COMMON STOCK;25,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN EXPRESS CO.;;1,397,955.00;COMMON STOCK;20,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN FINANCIAL GROUP INC.;;1,672,256.00;COMMON STOCK;23,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN INTL GROUP;;1,772,342.00;COMMON STOCK;28,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN TOWER CORP;;319,935.00;COMMON STOCK;3,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN WATER WORKS CO INC;;2,676,800.00;COMMON STOCK;44,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERIPRISE FINANCIAL INC;;2,522,154.00;COMMON STOCK;23,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERISOURCEBERGEN CORP;;8,006,412.00;COMMON STOCK;77,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMETEK INC.;;359,053.00;COMMON STOCK;6,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMGEN INC;;2,305,086.00;COMMON STOCK;14,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMPHENOL CORP-CL A;;2,982,333.00;COMMON STOCK;57,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMTRUST FINANCIAL SERVICES;;702,012.00;COMMON STOCK;11,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANALOG DEVICES;;398,304.00;COMMON STOCK;7,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANDEAVOR;;2,592,102.00;COMMON STOCK;24,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANSYS INC;;832,500.00;COMMON STOCK;9,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANTHEM INC.;;6,985,944.00;COMMON STOCK;50,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AON PLC;;1,475,360.00;COMMON STOCK;16,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;APPLE INC.;;23,715,078.00;COMMON STOCK;225,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;APTIV PLC;;2,323,283.00;COMMON STOCK;27,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ARCH CAPITAL GROUP LTD;;1,506,600.00;COMMON STOCK;21,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ARCHER DANIELS MIDLAND CO;;2,024,736.00;COMMON STOCK;55,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ARCONIC INC;;567,525.00;COMMON STOCK;57,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ARROW ELECTRONICS;;335,916.00;COMMON STOCK;6,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASHLAND GLOBAL HOLDINGS INC;;1,119,430.00;COMMON STOCK;10,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASPEN INSURANCE HOLDINGS LTD;;618,240.00;COMMON STOCK;12,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASSOCIATED BANC-CORP.;;712,500.00;COMMON STOCK;38,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASSURANT INC;;1,191,992.00;COMMON STOCK;14,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASSURED GUARANTY LTD;;309,231.00;COMMON STOCK;11,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AT&T INC;;2,174,093.00;COMMON STOCK;63,182.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AUTOMATIC DATA PROC.;;7,573,968.00;COMMON STOCK;89,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AUTOZONE INC;;1,187,056.00;COMMON STOCK;1,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AVERY DENNISON;;639,132.00;COMMON STOCK;10,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AXIS CAPITAL HOLDINGS LIMITED;;1,877,748.00;COMMON STOCK;33,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BAKER HUGHES A GE COMPANY;;618,410.00;COMMON STOCK;13,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BALL CORPORATION;;2,923,746.00;COMMON STOCK;40,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BANK OF AMERICA CORP.;;3,483,810.00;COMMON STOCK;207,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BANK OF HAWAII CORP;;1,031,560.00;COMMON STOCK;16,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BANKUNITED INC;;1,482,066.00;COMMON STOCK;41,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BARD C. R. INC.;;1,060,864.00;COMMON STOCK;5,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BB&T CORPORATION;;1,935,872.00;COMMON STOCK;51,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BECTON DICKINSON & COMPANY;;3,328,036.00;COMMON STOCK;21,598.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BEMIS CO.;;348,582.00;COMMON STOCK;7,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BERKLEY (WR) CORP;;1,587,750.00;COMMON STOCK;29,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BERKSHIRE HATHAWAY INC.;;7,882,788.00;COMMON STOCK;59,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BEST BUY COMPANY INC;;2,122,365.00;COMMON STOCK;69,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BIO RAD LABS INC;;665,568.00;COMMON STOCK;4,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BIOMARIN PHARMACEUTICAL;;2,000,916.00;COMMON STOCK;19,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BIO-TECHNE CORP;;360,000.00;COMMON STOCK;4,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BLACKROCK INC;;1,225,872.00;COMMON STOCK;3,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BLUEBIRD BIO INC;;699,998.00;COMMON STOCK;10,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BOEING CO;;636,196.00;COMMON STOCK;4,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BOOKING HOLDINGS INC;;509,980.00;COMMON STOCK;400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BOSTON SCIENTIFIC CORP.;;483,128.00;COMMON STOCK;26,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROADCOM CORP;;3,064,460.00;COMMON STOCK;53,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROADCOM LTD;;3,744,870.00;COMMON STOCK;25,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROADRIDGE FINANCIAL;;2,670,381.00;COMMON STOCK;49,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROCADE COMMUNICATIONS;;875,772.00;COMMON STOCK;95,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROWN FORMAN CORP CL A;;1,222,221.00;COMMON STOCK;11,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROWN-FORMAN -CL B;;3,018,112.00;COMMON STOCK;30,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BUNGE LIMITED;;327,744.00;COMMON STOCK;4,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BWX TECHNOLOGIES INC;;479,727.00;COMMON STOCK;15,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;C A INC.;;294,168.00;COMMON STOCK;10,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;C.H.ROBINSON WORLDWIDE INC;;781,452.00;COMMON STOCK;12,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CABLEVISION SYSTEMS CORP;;1,148,400.00;COMMON STOCK;36,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CADENCE DESIGN SYS INC;;1,756,364.00;COMMON STOCK;84,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CAMERON INTL CORP.;;347,600.00;COMMON STOCK;5,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CAPITAL ONE FINANCIAL CORP.;;3,154,266.00;COMMON STOCK;43,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CARDINAL HEALTH INC.;;4,767,018.00;COMMON STOCK;53,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CARMAX INC.;;264,453.00;COMMON STOCK;4,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CARNIVAL CORP;;315,984.00;COMMON STOCK;5,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CARTERS INC;;1,807,309.00;COMMON STOCK;20,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CBRE GROUP INC;;916,370.00;COMMON STOCK;26,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CDK GLOBAL INC.;;1,229,473.00;COMMON STOCK;25,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CDW CORP;;1,568,092.00;COMMON STOCK;37,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CELANESE CORP-SERIES A;;821,426.00;COMMON STOCK;12,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CELGENE CORP;;3,185,616.00;COMMON STOCK;26,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CENTENE CORP;;2,862,735.00;COMMON STOCK;43,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CENTURYLINK INC;;2,000,220.00;COMMON STOCK;79,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CERNER CORP.;;1,287,638.00;COMMON STOCK;21,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CF INDUSTRIES HOLDINGS INC;;1,126,356.00;COMMON STOCK;27,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHARLES RIVER LABORATORIES;;24,117.00;COMMON STOCK;300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHARTER COMMUNICATION-A;;1,611,280.00;COMMON STOCK;8,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHENIERE ENERGY INC;;2,197,750.00;COMMON STOCK;59,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHEVRON CORP.;;2,668,663.00;COMMON STOCK;29,665.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHICAGO BRIDGE & IRON;;436,688.00;COMMON STOCK;11,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHUBB CORP;;1,711,056.00;COMMON STOCK;12,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHUBB LIMITED;;1,963,080.00;COMMON STOCK;16,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHURCH & DWIGHT INC;;2,673,720.00;COMMON STOCK;31,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CIGNA CORP.;;5,355,678.00;COMMON STOCK;36,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CIMAREX ENERGY;;1,197,692.00;COMMON STOCK;13,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CINCINNATI FINANCIAL CORP.;;2,195,207.00;COMMON STOCK;37,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CINEMARK HOLDINGS INC;;117,005.00;COMMON STOCK;3,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CINTAS CORP;;3,341,535.00;COMMON STOCK;36,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CISCO SYSTEMS;;1,558,697.00;COMMON STOCK;57,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CITIGROUP INC.;;1,609,425.00;COMMON STOCK;31,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CITIZENS FINANCIAL GROUP;;725,463.00;COMMON STOCK;27,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CITRIX SYSTEMS INC;;363,120.00;COMMON STOCK;4,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CLOROX COMPANY;;2,498,551.00;COMMON STOCK;19,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CME GROUP INC;;2,491,500.00;COMMON STOCK;27,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CMS ENERGY CORP;;2,424,576.00;COMMON STOCK;67,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COCA COLA CO.;;1,164,216.00;COMMON STOCK;27,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COCA-COLA EUROPEAN;;891,244.00;COMMON STOCK;18,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COGNEX CORP.;;590,975.00;COMMON STOCK;17,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COGNIZANT TECH SOLUTIONS;;1,452,484.00;COMMON STOCK;24,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COLGATE PALMOLIVE;;806,102.00;COMMON STOCK;12,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COLUMBIA PIPELINE GROUP;;1,834,000.00;COMMON STOCK;91,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMCAST CORP - CL A;;7,725,098.00;COMMON STOCK;136,897.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMERICA INC.;;343,006.00;COMMON STOCK;8,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMMERCE BANCSHARES;;680,597.00;COMMON STOCK;15,999.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMMUNITY HEALTH SYS;;244,076.00;COMMON STOCK;9,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONAGRA BRANDS INC;;1,935,144.00;COMMON STOCK;45,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONCHO RESOURCES INC;;817,168.00;COMMON STOCK;8,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONOCOPHILLIPS;;3,041,947.00;COMMON STOCK;65,152.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONSTELLATION BRANDS INC-A;;6,637,704.00;COMMON STOCK;46,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COOPER COMPANIES INC.;;161,040.00;COMMON STOCK;1,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CORELOGIC INC;;680,586.00;COMMON STOCK;20,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CORNING INC;;659,908.00;COMMON STOCK;36,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COSTAR GROUP INC;;1,240,140.00;COMMON STOCK;6,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COSTCO WHOLESALE CORP.;;2,971,600.00;COMMON STOCK;18,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COTY INC-CL A;;776,589.00;COMMON STOCK;30,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CROWN CASTLE INTL CO;;328,510.00;COMMON STOCK;3,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CROWN HOLDINGS INC;;324,480.00;COMMON STOCK;6,400.00;INTECH (Q);5IN;0
